,synth_id,param_attack_1,param_attack_2,param_attack_3,param_decay_1,param_decay_2,param_decay_3,param_gain_2,param_gain_3,param_release_1,param_release_2,param_release_3,param_sustain_1,param_sustain_2,param_sustain_3,param_tuning_2,param_tuning_3
6,0b8f117c39291bbb497e9d8b2b1119a3,0.15,0.15,0.15,0.25,0.25,0.25,0,0.7,0.3,0.3,0.3,0.4,0.4,0.4,0.003125,0.010416667
32,45510d0bf313673eb95ae4547f32f049,0.15,0.01,0.01,0.73,0.69,0.65,0.25,0.25,0.22,0.35,0.3,0.4,0.4,0.4,0.000375,2.08E-05
105,d2391ff394e7f18355d8b3d67483f712,0.01,0.01,0.01,0.92,1,1,1,1,0.6,0.99,0.71,0.88,0.97,0.73,0.762479167,0.9930625
117,f33e90622b9b2ccde6c13f8341714dd0,0.37,1,0.12,0.23,0.25,1,0,1,0.3,0.3,0.32,0.01,0.4,0.06,0.989583333,0.999979167
130,ddf9e6bb436a51af3c1a89e7e3bbc881,0.41,0.4,0.84,0.25,0.69,0.87,0.7,0.7,0.3,0.3,0.3,0.56,0.4,0.4,2.08E-05,0.010416667
146,6c3f86ae079fdee2b861e646b3659ca3,1,0.88,0.83,0.99,0.88,0.77,0.217,0.15,0.26,0.3,0.3,0.79,0.83,0.4,2.08E-05,2.08E-05
160,7b4f4e366c648bedfeb270531e71805e,0.09,0.01,0.05,0.55,0.57,0.49,0.384,0.4,0.13,0.14,0.13,0.71,0.54,0.62,0.090291667,0.084395833
223,e810c2ed92a870c2330b89201c8903fc,0.15,0.15,0.01,0.25,0.01,0.01,0.451,0.7,0.3,0.3,0.3,0.4,0.4,0.4,0.36425,0.427083333
230,80ae33835bc15702e2f8c350f181be62,0.15,0.76,0.15,0.25,0.5,0.25,1,1,0.3,0.3,0.3,0.4,0.44,0.37,0.0416875,0.005229167
235,416ce07fc6375c188a73b743b6ec7b28,0.15,0.15,0,0.25,0.25,0.25,0.9,0.85,0.3,0.3,0.3,0.4,0.4,0.86,0.90625,0.739583333
239,db7408881411a2480563e3dfcfef327c,0.01,0.15,0.15,0.31,0.25,0.25,0.733,0.7,0.3,0.3,0.3,0.01,0.4,0.4,0.885416667,0.010416667
255,5749dbf65a1757add060de9b9487f344,0.15,0.15,0.15,1,0.25,0.25,0.95,1,0.43,0.7,0.77,0.68,0.75,0.89,0.019083333,0.052083333
